index,country_index,country,name,logo,website_url,video_url,video_alt_text,video_source
58,4,Slovenia,Ministry of Economic Development & Technology,https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632609991/initial_seeds/Captura_de_ecra%CC%83_2021-09-25_a%CC%80s_23.46.23_k9mvcr.png,https://www.gov.si/en/state-authorities/ministries/ministry-of-economic-development-and-technology/,,,
59,4,Slovenia,Office of the Republic of Slovenia for Youth,https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632609991/initial_seeds/Captura_de_ecra%CC%83_2021-09-25_a%CC%80s_23.46.23_k9mvcr.png,https://www.gov.si/drzavni-organi/organi-v-sestavi/urad-za-mladino/,,,
60,4,Slovenia,"Ministry of Education, Science and Sport",https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632609991/initial_seeds/Captura_de_ecra%CC%83_2021-09-25_a%CC%80s_23.46.23_k9mvcr.png,https://www.gov.si/en/state-authorities/ministries/ministry-of-education-science-and-sport/,,,
61,4,Slovenia,Council of the Government of the Republic of Slovenia for the Youth Sector,https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632609991/initial_seeds/Captura_de_ecra%CC%83_2021-09-25_a%CC%80s_23.46.23_k9mvcr.png,https://www.gov.si/zbirke/delovna-telesa/svet-vlade-republike-slovenije-za-mladino/,,,
62,3,Portugal,Secretary of State for Youth and Sports (SEJD),https://www.noticiasdeviseu.com/wp-content/uploads/2017/08/republicapt-735x281.png,https://www.portugal.gov.pt/en/gc22/ministries/education/secretaries-of-state?i=youthandsport,,,
63,3,Portugal,Ministry of Education,https://www.noticiasdeviseu.com/wp-content/uploads/2017/08/republicapt-735x281.png,https://www.portugal.gov.pt/en/gc22/ministries/education,,,
64,3,Portugal,"Portuguese Institute for Sports and Youth (IPDJ, IP)",https://ipdj.gov.pt/documents/20123/0/IPDJ.png/0c65b635-4f59-78a5-80e2-b672dd347571?t=1570120585019,https://ipdj.gov.pt/,,,
65,3,Portugal,"Committee on Education, Science, Youth and Sport (CECJD)",https://forumsaudexxi.pt/wp-content/uploads/2017/04/Logo_AR-e1460383375899.png,https://www.parlamento.pt/sites/com/XIVLeg/8CECJD/Paginas/default.aspx,,,
66,3,Portugal,Youth Advisory Council (CCJ),https://www.noticiasdeviseu.com/wp-content/uploads/2017/08/republicapt-735x281.png,https://dre.pt/legislacao-consolidada/-/lc/69750578/201704200107/69751259/diploma/indice,,,
67,3,Portugal,National Federation of Youth Associations (FNAJ),https://www.esnminho.org/sites/default/files/partners/images/fnaj.jpg,https://www.fnaj.pt/,,,
68,3,Portugal,"Committee on Culture, Communication, Youth and Sports",https://forumsaudexxi.pt/wp-content/uploads/2017/04/Logo_AR-e1460383375899.png,https://www.parlamento.pt/sites/COM/XIVLeg/8CECJD/Apresentacao/Paginas/Competencias.aspx,,,
69,3,Portugal,Portuguese Environment Agency,https://www.ambientemagazine.com/wp-content/uploads/2019/07/logotipo-APA_principal-770x439_c.png,https://apambiente.pt/,,,
70,3,Portugal,Committee for Climate Action,https://www.ambientemagazine.com/wp-content/uploads/2019/07/logotipo-APA_principal-770x439_c.png,https://apambiente.pt/clima/comissao-para-acao-climatica,,,
71,3,Portugal,Directorate-General for Energy and Geology (DGEG),https://www.dgeg.gov.pt/Media/logo.png,https://www.dgeg.gov.pt/,,,
72,3,Portugal,Ministry of the Environment and Climate Action,https://www.noticiasdeviseu.com/wp-content/uploads/2017/08/republicapt-735x281.png,https://www.sgambiente.gov.pt/,,,
73,3,Portugal,National Laboratory of Energy and Geology (LNEG),https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632661325/initial_seeds/lneg_txqabe.jpg,https://www.lneg.pt/en/homepage/,,,
74,3,Portugal,Regulatory Authority for Energy Services (ERSE),https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632651395/initial_seeds/erse_logo_neepiz.png,https://www.erse.pt/inicio/,,,
75,3,Portugal,Council of Ministers,https://www.noticiasdeviseu.com/wp-content/uploads/2017/08/republicapt-735x281.png,https://www.portugal.gov.pt/pt/gc22/comunicacao/comunicado?i=plano-nacional-energia-e-clima-2030-aprovado-em-conselho-de-ministros,,,
76,3,Portugal,"Committee on Environment, Energy and Spatial Planning",https://forumsaudexxi.pt/wp-content/uploads/2017/04/Logo_AR-e1460383375899.png,https://www.parlamento.pt/sites/COM/XIVLeg/11CAEOT/Apresentacao/Paginas/Regulamento.aspx,,,
77,3,Portugal,Assembly of the Republic of Portugal,https://forumsaudexxi.pt/wp-content/uploads/2017/04/Logo_AR-e1460383375899.png,https://www.parlamento.pt/,,,
